Season,Sex,First Name,Last Name,Age,Occupation,Result,First Group in Villa,Have they appeared on a previous season of LI USA?,Day Entered Villa,Day Left Villa,Days in Villa,Location,US Region,Birthday,Zodiac,Casa Amor Contestant,Casa Decision,Snogs Received/SMP,Marry Received/SMP,Pies Received/SMP
1,Female,Elizabeth,Weber,24,Advertising executive,Winner,Yes,No,1,27,26,"New York, New York",Northeast,"September 8, 1994",Virgo,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Male,Zac,Mirabelli,22,Grocery store cashier,Winner,Yes,No,1,27,26,"Chicago, Illinois",Midwest,"September 18, 1996",Virgo,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Female,Alexandra,Stewart,25,Publicist,Runner-Up,Yes,No,1,27,26,"Los Angeles, California",West,"June 4, 1994",Gemini,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Male,Dylan,Curry,25,Personal trainer,Runner-Up,No,No,4,27,23,"San Diego, California",West,"February 3, 1994",Aquarius,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Female,Caro,Viehweg,21,Student,3rd Place,Yes,No,1,27,26,"Los Angeles, California",West,"December 26, 1997",Capricorn,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Male,Ray,Gannt,23,Promoter,3rd Place,No,No,12,27,15,"Hillside, New Jersey",Northeast,"April 29, 1996",Taurus,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Female,Emily,Salch,21,,4th Place,No,No,18,27,9,"Binghamton, New York",Northeast,"November 29, 1997",Sagittarius,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Male,Weston,Richey,25,Photographer,4th Place,Yes,No,1,27,26,"Dallas, Texas",Southwest,"July 13, 1993",Cancer,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Male,Jered,Youngblood,27,Real estate agent,Dumped,No,No,18,24,6,"Lakeland, Florida",Southeast,"January 12, 1992",Capricorn,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Female,Kyra,Green,22,Musician,Dumped,Yes,No,1,24,23,"Los Angeles, California",West,"March 6, 1997",Pisces,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Female,Aissata,Diallo,25,Model,Dumped,No,No,12,22,10,"The Bronx, New York",Northeast,"May 10, 1994",Taurus,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Male,Yamen,Sanders,24,Real estate agent,Dumped,Yes,No,1,22,21,"Los Angeles, California",West,"September 18, 1994",Virgo,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Male,Anton,Morrow,24,,Dumped,No,No,18,20,2,"Los Angeles, California",West,"July 17, 1995",Cancer,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Male,Eric,Hall,27,Tattoo shop manager,Dumped,No,No,12,20,8,"Toronto, Ontario",International,"January 11, 1992",Capricorn,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Female,Kelsey,Jurewicz,25,Mortgage marketing manager,Walked,No,No,12,20,8,"Newark, Delaware",Northeast,"June 2, 1994",Gemini,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Female,Katrina,Dimaranan,25,Beauty queen,Dumped,No,No,7,17,10,"San Francisco, California",West,"June 3, 1993",Gemini,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Male,Cashel,Barnett,27,Model / musician,Dumped,Yes,No,1,17,16,"Sacramento, California",West,"May 13, 1991",Taurus,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Male,Winston,Hines,29,Pharmaceutical sales rep,Dumped,No,No,9,15,6,"Lexington, Kentucky",Southeast,"February 13, 1990",Aquarius,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Female,Marli,Tyndall,21,Bartender,Dumped,No,No,12,15,3,"Miami, Florida",Southeast,"April 25, 1998",Taurus,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Male,George,Johnson,30,Interior designer,Dumped,No,No,12,15,3,"Beverly Hills, California",West,,,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Female,Christen,McAllister,24,Sales and business development,Dumped,No,No,7,11,4,"Los Angeles, California",West,"February 11, 1995",Aquarius,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Male,Cormac,Murphy,26,Nightclub promoter,Dumped,No,No,4,11,7,"New York, New York",Northeast,"January 1, 1993",Capricorn,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Female,Alana,Morrison,21,Student,Dumped,Yes,No,1,9,8,"New Haven, Connecticut",Northeast,"March 27, 1998",Aries,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Female,Mallory,Santic,25,Analyst,Dumped,Yes,No,1,9,8,"Vancouver, Washington",West,"June 16, 1993",Gemini,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
1,Male,Michael,Yi,29,Model,Dumped,Yes,No,1,5,4,"Miami, Florida",Southeast,"January 19, 1993",Capricorn,No Casa this season,No Casa this season,Not played this season,Not Played this season,Not played this season
2,Male,Caleb,Corpew,24,IT sales consultant,Winner,No,No,5,40,35,"Oklahoma City, Oklahoma",Southwest,"February 11, 1996",Aquarius,No,Stick,2,0,1
2,Female,Justine,Ndiba,27,Billing coordinator / Go-go dancer,Winner,Yes,No,1,40,39,"Rockaway, New Jersey",Northeast,"March 12, 1993",Pisces,No,Stick,1,1,1
2,Female,Cely,Vazquez,24,Legal Secretary,Runner-Up,Yes,No,1,40,39,"Sacramento, California",West,"May 23, 1996",Gemini,No,Stick,0,1,1
2,Male,Johnny,Middlebrooks,22,Student,Runner-Up,Yes,No,1,40,39,"Chesapeake, Virginia",Southeast,"June 20, 1998",Gemini,No,Stick,0,0,2
2,Male,Calvin,Cobb,25,Sales manager,3rd Place,No,No,5,40,35,"Houston, Texas",Southwest,"January 5, 1996",Capricorn,No,Switch,0,0,0
2,Female,Moira,Tumas,28,Shopping channel model,3rd Place,Yes,No,1,40,39,"Brielle, New Jersey",Northeast,"October 1, 1991",Libra,No,Switch,0,1,0
2,Male,Carrington,Rodriguez,22,Sales manager,4th Place,Yes,No,1,40,39,"Salt Lake City, Utah",West,"August 2, 1997",Leo,No,Switch,1,1,2
2,Female,Laurel,Goldman,22,Eyelash artist,4th Place,No,No,16,40,24,"Auburn, Alabama",Southeast,"October 1, 1997",Libra,Yes,N/A,1,0,0
2,Male,Bennett,Sipes,26,Executive assistant,Dumped,No,No,26,37,11,"Baltimore, Maryland",Southeast,"June 7, 1994",Gemini,No,N/A,N/A,N/A,N/A
2,Female,Lakeyn,Call,21,Student,Dumped,No,No,29,37,8,"Richmond, Virginia",Southeast,"November 12, 1998",Scorpio,No,N/A,N/A,N/A,N/A
2,Female,Julia,Hall,26,Realtor,Dumped,No,No,29,33,4,"Miami, Florida",Southeast,"January 2, 1995",Capricorn,No,N/A,N/A,N/A,N/A
2,Female,Kierstan,Saulter,23,Bartender,Dumped,No,No,2,33,31,"Castroville, Texas",Southwest,"July 14, 1997",Cancer,No,Stick,1,0,1
2,Male,Bennie,Bivens,24,Sales / Personal trainer,Dumped,No,No,26,28,2,"Barnegat, New Jersey",Northeast,"July 30, 1996",Leo,No,N/A,N/A,N/A,N/A
2,Male,Connor,Trott,23,Auditor,Dumped,Yes,No,1,28,27,"Pittsburgh, Pennsylvania",Northeast,"July 5, 1997",Cancer,No,Stick,0,3,0
2,Male,Noah,Purvis,24,Home healthcare provider,Removed,No,No,26,28,2,"Imperial, Missouri",Midwest,,,No,N/A,N/A,N/A,N/A
2,Male,Aaron,Owen,26,Cake decorator,Dumped,No,No,16,25,9,"Henderson, Nevada",West,,,Yes,N/A,N/A,N/A,N/A
2,Male,Jalen,Noble,27,Account exectutive,Dumped,No,No,16,25,9,"Nashville, Tennessee",Southeast,"May 13, 1993",Taurus,Yes,N/A,N/A,N/A,N/A
2,Female,Mackenzie,Dipman,24,Student,Dumped,Yes,No,1,25,24,"Scottsdale, Arizona",Southwest,"August 20, 1996",Leo,No,Switch,1,1,2
2,Female,Sher,Suarez,22,Hostess,Dumped,No,No,16,25,9,"Miami, Florida",Southeast,"March 19, 1998",Pisces,Yes,N/A,N/A,N/A,N/A
2,Male,De’Andre,Heath,25,Pro-baseball player,Dumped,No,No,16,19,3,"North Miami Beach, Florida",Southeast,"August 5, 1995",Leo,Yes,N/A,N/A,N/A,N/A
2,Female,Faith,Tyrell,26,Pageant coach,Dumped,No,No,16,19,3,"Kansas City, Missouri",Midwest,"August 28, 1994",Virgo,Yes,N/A,N/A,N/A,N/A
2,Female,GiNiele,Reitzell,24,Sales manager,Dumped,No,No,16,19,3,"Paramount, California",West,"September 22, 1995",Virgo,Yes,N/A,N/A,N/A,N/A
2,Female,Mercades,Schell,26,Nanny,Dumped,No,No,16,19,3,"Las Cruces, New Mexico",Southwest,"March 6, 1995",Pisces,Yes,N/A,N/A,N/A,N/A
2,Male,Mike,Jenkerson,26,Sales representative,Dumped,No,No,16,19,3,"San Jose, California",West,"October 11, 1993",Libra,Yes,N/A,N/A,N/A,N/A
2,Male,Pat,Albasha,28,Attorney,Dumped,No,No,16,19,3,"San Dimas, California",West,,,Yes,N/A,N/A,N/A,N/A
2,Female,Lauren,Coogan,28,Family assistant,Dumped,No,No,10,14,4,"Oxford, England",International,"November 13, 1991",Scorpio,No,N/A,N/A,N/A,N/A
2,Male,Tre,Forte,25,Personal trainer,Dumped,Yes,No,1,14,13,"Boca Raton, Florida",Southeast,"December 12, 1994",Sagittarius,No,N/A,0,1,1
2,Female,Rachel,Lundell,21,Student,Dumped,No,No,2,12,10,"Minneapolis, Minnesota",Midwest,"February 12, 1999",Aquarius,No,N/A,N/A,N/A,N/A
2,Male,James,McCool,27,Personal trainer,Dumped,Yes,No,1,9,8,"Winchester, Virginia",Southeast,,,No,N/A,N/A,N/A,N/A
2,Male,Jeremiah,White,22,Retail sales associate,Dumped,Yes,No,1,9,8,"De Kalb, Mississippi",Southeast,"December 30, 1997",Capricorn,No,N/A,N/A,N/A,N/A
2,Female,Kaitlynn,Anderson,27,Promotions,Dumped,Yes,No,1,5,4,"Lapeer, Michigan",Midwest,"June 7, 1993",Gemini,No,N/A,N/A,N/A,N/A
